Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
libjs-jquery ii:libjs-jquery:3.5.1+dfsg+~3.5.5-7:all:JavaScript:library:for:dynamic:web:applications 3.5.1
libjs-sphinxdoc ii:libjs-sphinxdoc:3.4.3-2:all:JavaScript:support:for:Sphinx:documentation 3.4.32
libjs-underscore ii:libjs-underscore:1.9.1~dfsg-3:all:JavaScript's:functional:programming:helper:library 1.9.13
libjson-c5:amd64 ii:libjson-c5:amd64:0.15-2:amd64:JSON:manipulation:library:-:shared:library 0.152
libjson-glib-1.0-0:amd64 ii:libjson-glib-1.0-0:amd64:1.6.2-1:amd64:GLib:JSON:manipulation:library 1.6.21
libjson-glib-1.0-common ii:libjson-glib-1.0-common:1.6.2-1:all:GLib:JSON:manipulation:library:(common:files) 1.6.21
libjte2:amd64 ii:libjte2:amd64:1.22-3:amd64:Jigdo:Template:Export:-:runtime:library 1.223
libjuh-java ii:libjuh-java:1:7.0.4-4+deb11u4:all:LibreOffice:UNO:runtime:environment:--:Java:Uno:helper:(compatibility:library) 17.0.44
libjurt-java ii:libjurt-java:1:7.0.4-4+deb11u4:all:LibreOffice:UNO:runtime:environment:--:Java:Uno:Runtime:(compatibility:library) 17.0.44
libk5crypto3:amd64 ii:libk5crypto3:amd64:1.18.3-6+deb11u3:amd64:MIT:Kerberos:runtime:libraries:-:Crypto:Library 1.18.36
libkate1:amd64 ii:libkate1:amd64:0.4.1-11:amd64:Codec:for:karaoke:and:text:encapsulation 0.4.111
libkeyutils1:amd64 ii:libkeyutils1:amd64:1.6.1-2:amd64:Linux:Key:Management:Utilities:(library) 1.6.12
libklibc:amd64 ii:libklibc:amd64:2.0.8-6.1:amd64:minimal:libc:subset:for:use:with:initramfs 2.0.86.1
libkmod2:amd64 ii:libkmod2:amd64:28-1:amd64:libkmod:shared:library 281
libkpathsea6:amd64 ii:libkpathsea6:amd64:2020.20200327.54578-7:amd64:TeX:Live::path:search:library:for:TeX:(runtime:part) 2020.20200327.545787
libkrb5-3:amd64 ii:libkrb5-3:amd64:1.18.3-6+deb11u3:amd64:MIT:Kerberos:runtime:libraries 1.18.36
libkrb5support0:amd64 ii:libkrb5support0:amd64:1.18.3-6+deb11u3:amd64:MIT:Kerberos:runtime:libraries:-:Support:library 1.18.36
libksba8:amd64 ii:libksba8:amd64:1.5.0-3+deb11u2:amd64:X.509:and:CMS:support:library 1.5.03
liblangtag-common ii:liblangtag-common:0.6.3-2:all:library:to:access:tags:for:identifying:languages:--:data 0.6.32
liblangtag1:amd64 ii:liblangtag1:amd64:0.6.3-2:amd64:library:to:access:tags:for:identifying:languages 0.6.32
liblapack3:amd64 ii:liblapack3:amd64:3.9.0-3:amd64:Library:of:linear:algebra:routines:3:-:shared:version 3.9.03
liblcms2-2:amd64 ii:liblcms2-2:amd64:2.12~rc1-2:amd64:Little:CMS:2:color:management:library 2.1212
libldap-2.4-2:amd64 ii:libldap-2.4-2:amd64:2.4.57+dfsg-3+deb11u1:amd64:OpenLDAP:libraries 2.4.57
libldap-common ii:libldap-common:2.4.57+dfsg-3+deb11u1:all:OpenLDAP:common:files:for:libraries 2.4.57
libldb2:amd64 ii:libldb2:amd64:2:2.2.3-2~deb11u2:amd64:LDAP-like:embedded:database:-:shared:library 22.2.32112
liblibreoffice-java ii:liblibreoffice-java:1:7.0.4-4+deb11u4:all:LibreOffice:UNO:runtime:environment:--:Java:library 17.0.44
liblibreofficekitgtk ii:liblibreofficekitgtk:1:7.0.4-4+deb11u4:amd64:GTK3:widget:wrapping:LibreOffice:functionality 17.0.44
liblilv-0-0:amd64 ii:liblilv-0-0:amd64:0.24.12-2:amd64:library:for:simple:use:of:LV2:plugins 0.24.122
liblirc-client0:amd64 ii:liblirc-client0:amd64:0.10.1-6.3:amd64:infra-red:remote:control:support:-:client:library 0.10.16.3
libllvm11:amd64 ii:libllvm11:amd64:1:11.0.1-2:amd64:Modular:compiler:and:toolchain:technologies,:runtime:library 111.0.12
liblmdb0:amd64 ii:liblmdb0:amd64:0.9.24-1:amd64:Lightning:Memory-Mapped:Database:shared:library 0.9.241
liblocale-gettext-perl ii:liblocale-gettext-perl:1.07-4+b1:amd64:module:using:libc:functions:for:internationalization:in:Perl 1.074
liblockfile-bin ii:liblockfile-bin:1.17-1+b1:amd64:support:binaries:for:and:cli:utilities:based:on:liblockfile 1.171
liblognorm5:amd64 ii:liblognorm5:amd64:2.0.5-1.1:amd64:log:normalizing:library 2.0.51.1
liblouis-data ii:liblouis-data:3.16.0-1:all:Braille:translation:library:-:data 3.16.01
liblouis20:amd64 ii:liblouis20:amd64:3.16.0-1:amd64:Braille:translation:library:-:shared:libs 3.16.01
liblouisutdml-bin ii:liblouisutdml-bin:2.9.0-1:amd64:Braille:UTDML:translation:utilities 2.9.01
liblouisutdml-data ii:liblouisutdml-data:2.9.0-1:all:Braille:UTDML:translation:library:-:data 2.9.01
liblouisutdml9:amd64 ii:liblouisutdml9:amd64:2.9.0-1:amd64:Braille:UTDML:translation:library:-:shared:libs 2.9.01
liblsan0:amd64 ii:liblsan0:amd64:10.2.1-6:amd64:LeakSanitizer:--:a:memory:leak:detector:(runtime) 10.2.16
libltc11:amd64 ii:libltc11:amd64:1.3.1-1:amd64:linear:timecode:library 1.3.11
libltdl7:amd64 ii:libltdl7:amd64:2.4.6-15:amd64:System:independent:dlopen:wrapper:for:GNU:libtool 2.4.615
liblua5.2-0:amd64 ii:liblua5.2-0:amd64:5.2.4-1.1+b3:amd64:Shared:library:for:the:Lua:interpreter:version:5.2 5.2.41.1
liblua5.3-0:amd64 ii:liblua5.3-0:amd64:5.3.3-1.1+b1:amd64:Shared:library:for:the:Lua:interpreter:version:5.3 5.3.31.1
liblwp-mediatypes-perl ii:liblwp-mediatypes-perl:6.04-1:all:module:to:guess:media:type:for:a:file:or:a:URL 6.041
liblwp-protocol-https-perl ii:liblwp-protocol-https-perl:6.10-1:all:HTTPS:driver:for:LWP::UserAgent 6.101
liblz4-1:amd64 ii:liblz4-1:amd64:1.9.3-2:amd64:Fast:LZ:compression:algorithm:library:-:runtime 1.9.32
liblzma5:amd64 ii:liblzma5:amd64:5.2.5-2.1~deb11u1:amd64:XZ-format:compression:library 5.2.52.1111
liblzo2-2:amd64 ii:liblzo2-2:amd64:2.10-2:amd64:data:compression:library 2.102
libmagic-mgc ii:libmagic-mgc:1:5.39-3:amd64:File:type:determination:library:using:"magic":numbers:(compiled:magic:file) 15.393
libmagic1:amd64 ii:libmagic1:amd64:1:5.39-3:amd64:Recognize:the:type:of:data:in:a:file:using:"magic":numbers:-:library 15.393
libmailtools-perl ii:libmailtools-perl:2.21-1:all:modules:to:manipulate:email:in:perl:programs 2.211
libmalcontent-0-0:amd64 ii:libmalcontent-0-0:amd64:0.10.0-2:amd64:library:for:parental:control:of:applications 0.10.02
libmalcontent-ui-0-0:amd64 ii:libmalcontent-ui-0-0:amd64:0.10.0-2:amd64:library:for:parental:control:of:applications:-:GTK+:widgets:and:dialogs 0.10.02
libmanette-0.2-0:amd64 ii:libmanette-0.2-0:amd64:0.2.5-1:amd64:Simple:GObject:game:controller:library 0.2.51
libmaxminddb0:amd64 ii:libmaxminddb0:amd64:1.5.2-1:amd64:IP:geolocation:database:library 1.5.21
libmbedcrypto3:amd64 ii:libmbedcrypto3:amd64:2.16.9-0.1:amd64:lightweight:crypto:and:SSL/TLS:library:-:crypto:library 2.16.90.1
libmbedtls12:amd64 ii:libmbedtls12:amd64:2.16.9-0.1:amd64:lightweight:crypto:and:SSL/TLS:library:-:tls:library 2.16.90.1
libmbedx509-0:amd64 ii:libmbedx509-0:amd64:2.16.9-0.1:amd64:lightweight:crypto:and:SSL/TLS:library:-:x509:certificate:library 2.16.90.1
libmbim-glib4:amd64 ii:libmbim-glib4:amd64:1.24.6-0.1:amd64:Support:library:to:use:the:MBIM:protocol 1.24.60.1
libmbim-proxy ii:libmbim-proxy:1.24.6-0.1:amd64:Proxy:to:communicate:with:MBIM:ports 1.24.60.1
libmd0:amd64 ii:libmd0:amd64:1.0.3-3:amd64:message:digest:functions:from:BSD:systems:-:shared:library 1.0.33
libmd4c0:amd64 ii:libmd4c0:amd64:0.4.7-2:amd64:Markdown:for:C 0.4.72
libmediaart-2.0-0:amd64 ii:libmediaart-2.0-0:amd64:1.9.4-3:amd64:media:art:extraction:and:cache:management:library 1.9.43
libmfx1:amd64 ii:libmfx1:amd64:21.1.0-1:amd64:Intel:Media:SDK:--:shared:library 21.1.01
libmhash2:amd64 ii:libmhash2:amd64:0.9.9.9-9:amd64:Library:for:cryptographic:hashing:and:message:authentication 0.9.9.99
libminiupnpc17:amd64 ii:libminiupnpc17:amd64:2.2.1-1:amd64:UPnP:IGD:client:lightweight:library 2.2.11
libmjpegutils-2.1-0:amd64 ii:libmjpegutils-2.1-0:amd64:1:2.1.0+debian-6:amd64:MJPEG:capture/editing/replay:and:MPEG:encoding:toolset:(library) 12.1.0
libmm-glib0:amd64 ii:libmm-glib0:amd64:1.14.12-0.2:amd64:D-Bus:service:for:managing:modems:-:shared:libraries 1.14.120.2
libmms0:amd64 ii:libmms0:amd64:0.6.4-3:amd64:MMS:stream:protocol:library:-:shared:library 0.6.43
libmnl0:amd64 ii:libmnl0:amd64:1.0.4-3:amd64:minimalistic:Netlink:communication:library 1.0.43
libmodplug1:amd64 ii:libmodplug1:amd64:1:0.8.9.0-3:amd64:shared:libraries:for:mod:music:based:on:ModPlug 10.8.9.03
libmount1:amd64 ii:libmount1:amd64:2.36.1-8+deb11u1:amd64:device:mounting:library 2.36.18
libmozjs-78-0:amd64 ii:libmozjs-78-0:amd64:78.4.0-2:amd64:SpiderMonkey:JavaScript:library 78.4.02
libmp3lame0:amd64 ii:libmp3lame0:amd64:3.100-3:amd64:MP3:encoding:library 3.1003
libmpc3:amd64 ii:libmpc3:amd64:1.2.0-1:amd64:multiple:precision:complex:floating-point:library 1.2.01
libmpcdec6:amd64 ii:libmpcdec6:amd64:2:0.1~r495-2:amd64:MusePack:decoder:-:library 20.14952
libmpdec3:amd64 ii:libmpdec3:amd64:2.5.1-1:amd64:library:for:decimal:floating:point:arithmetic:(runtime:library) 2.5.11
libmpeg2-4:amd64 ii:libmpeg2-4:amd64:0.5.1-9:amd64:MPEG1:and:MPEG2:video:decoder:library 0.5.19
libmpeg2encpp-2.1-0:amd64 ii:libmpeg2encpp-2.1-0:amd64:1:2.1.0+debian-6:amd64:MJPEG:capture/editing/replay:and:MPEG:encoding:toolset:(library) 12.1.0
libmpfr6:amd64 ii:libmpfr6:amd64:4.1.0-3:amd64:multiple:precision:floating-point:computation 4.1.03
libmpg123-0:amd64 ii:libmpg123-0:amd64:1.26.4-1:amd64:MPEG:layer:1/2/3:audio:decoder:(shared:library) 1.26.41
libmplex2-2.1-0:amd64 ii:libmplex2-2.1-0:amd64:1:2.1.0+debian-6:amd64:MJPEG:capture/editing/replay:and:MPEG:encoding:toolset:(library) 12.1.0
libmspack0:amd64 ii:libmspack0:amd64:0.10.1-2:amd64:library:for:Microsoft:compression:formats:(shared:library) 0.10.12
libmspub-0.1-1:amd64 ii:libmspub-0.1-1:amd64:0.1.4-3+b1:amd64:library:for:parsing:the:mspub:file:structure 0.1.43
libmtdev1:amd64 ii:libmtdev1:amd64:1.1.6-1:amd64:Multitouch:Protocol:Translation:Library:-:shared:library 1.1.61
libmtp-common ii:libmtp-common:1.1.17-3:all:Media:Transfer:Protocol:(MTP):common:files 1.1.173
libmtp-runtime ii:libmtp-runtime:1.1.17-3:amd64:Media:Transfer:Protocol:(MTP):runtime:tools 1.1.173
libmtp9:amd64 ii:libmtp9:amd64:1.1.17-3:amd64:Media:Transfer:Protocol:(MTP):library 1.1.173
libmusicbrainz5-2:amd64 ii:libmusicbrainz5-2:amd64:5.1.0+git20150707-10:amd64:Library:to:access:the:MusicBrainz.org:database:(C:wrapper:functions) 5.1.0
libmusicbrainz5cc2v5:amd64 ii:libmusicbrainz5cc2v5:amd64:5.1.0+git20150707-10:amd64:Library:to:access:the:MusicBrainz.org:database 5.1.0
libmutter-7-0:amd64 ii:libmutter-7-0:amd64:3.38.6-2~deb11u2:amd64:window:manager:library:from:the:Mutter:window:manager 3.38.62112
libmwaw-0.3-3:amd64 ii:libmwaw-0.3-3:amd64:0.3.17-1:amd64:import:library:for:some:old:Mac:text:documents 0.3.171
libmysofa1:amd64 ii:libmysofa1:amd64:1.2~dfsg0-1:amd64:library:to:read:HRTFs:stored:in:the:AES69-2015:SOFA:format 1.201
libmythes-1.2-0:amd64 ii:libmythes-1.2-0:amd64:2:1.2.4-3+b1:amd64:simple:thesaurus:library 21.2.43
libnatpmp1:amd64 ii:libnatpmp1:amd64:20150609-7.1:amd64:portable:and:fully:compliant:implementation:of:NAT-PMP 201506097.1
libnautilus-extension1a:amd64 ii:libnautilus-extension1a:amd64:3.38.2-1+deb11u1:amd64:libraries:for:nautilus:components:-:runtime:version 3.38.21
libncurses6:amd64 ii:libncurses6:amd64:6.2+20201114-2:amd64:shared:libraries:for:terminal:handling 6.2
libncursesw6:amd64 ii:libncursesw6:amd64:6.2+20201114-2:amd64:shared:libraries:for:terminal:handling:(wide:character:support) 6.2
libndp0:amd64 ii:libndp0:amd64:1.6-1+b1:amd64:Library:for:Neighbor:Discovery:Protocol 1.61
libneon27-gnutls:amd64 ii:libneon27-gnutls:amd64:0.31.2-1:amd64:HTTP:and:WebDAV:client:library:(GnuTLS:enabled) 0.31.21
libnet-dbus-perl ii:libnet-dbus-perl:1.2.0-1+b1:amd64:Perl:extension:for:the:DBus:bindings 1.2.01
libnet-http-perl ii:libnet-http-perl:6.20-1:all:module:providing:low-level:HTTP:connection:client 6.201
libnet-smtp-ssl-perl ii:libnet-smtp-ssl-perl:1.04-1:all:Perl:module:providing:SSL:support:to:Net::SMTP 1.041
libnet-ssleay-perl ii:libnet-ssleay-perl:1.88-3+b1:amd64:Perl:module:for:Secure:Sockets:Layer:(SSL) 1.883
libnetfilter-conntrack3:amd64 ii:libnetfilter-conntrack3:amd64:1.0.8-3:amd64:Netfilter:netlink-conntrack:library 1.0.83
libnettle8:amd64 ii:libnettle8:amd64:3.7.3-1:amd64:low:level:cryptographic:library:(symmetric:and:one-way:cryptos) 3.7.31
libnewt0.52:amd64 ii:libnewt0.52:amd64:0.52.21-4+b3:amd64:Not:Erik's:Windowing:Toolkit:-:text:mode:windowing:with:slang 0.52.214
libnfnetlink0:amd64 ii:libnfnetlink0:amd64:1.0.1-3+b1:amd64:Netfilter:netlink:library 1.0.13
libnfs13:amd64 ii:libnfs13:amd64:4.0.0-1:amd64:NFS:client:library:(shared:library) 4.0.01
libnftables1:amd64 ii:libnftables1:amd64:0.9.8-3.1+deb11u1:amd64:Netfilter:nftables:high:level:userspace:API:library 0.9.83.1
libnftnl11:amd64 ii:libnftnl11:amd64:1.1.9-1:amd64:Netfilter:nftables:userspace:API:library 1.1.91
libnghttp2-14:amd64 ii:libnghttp2-14:amd64:1.43.0-1:amd64:library:implementing:HTTP/2:protocol:(shared:library) 1.43.01
libnice10:amd64 ii:libnice10:amd64:0.1.16-1:amd64:ICE:library:(shared:library) 0.1.161
libnl-3-200:amd64 ii:libnl-3-200:amd64:3.4.0-1+b1:amd64:library:for:dealing:with:netlink:sockets 3.4.01
libnl-genl-3-200:amd64 ii:libnl-genl-3-200:amd64:3.4.0-1+b1:amd64:library:for:dealing:with:netlink:sockets:-:generic:netlink 3.4.01
libnl-route-3-200:amd64 ii:libnl-route-3-200:amd64:3.4.0-1+b1:amd64:library:for:dealing:with:netlink:sockets:-:route:interface 3.4.01
libnm0:amd64 ii:libnm0:amd64:1.30.6-1+deb11u1:amd64:GObject-based:client:library:for:NetworkManager 1.30.61
libnma-common ii:libnma-common:1.8.30-1:all:NetworkManager:GUI:library:-:translations 1.8.301
libnma0:amd64 ii:libnma0:amd64:1.8.30-1:amd64:NetworkManager:GUI:library 1.8.301
libnorm1:amd64 ii:libnorm1:amd64:1.5.9+dfsg-2:amd64:NACK-Oriented:Reliable:Multicast:(NORM):library 1.5.9
libnotify4:amd64 ii:libnotify4:amd64:0.7.9-3:amd64:sends:desktop:notifications:to:a:notification:daemon 0.7.93
libnpth0:amd64 ii:libnpth0:amd64:1.6-3:amd64:replacement:for:GNU:Pth:using:system:threads 1.63
libnsl-dev:amd64 ii:libnsl-dev:amd64:1.3.0-2:amd64:libnsl:development:files 1.3.02
libnsl2:amd64 ii:libnsl2:amd64:1.3.0-2:amd64:Public:client:interface:for:NIS(YP):and:NIS+ 1.3.02
libnspr4:amd64 ii:libnspr4:amd64:2:4.29-1:amd64:NetScape:Portable:Runtime:Library 24.291
libnss-mdns:amd64 ii:libnss-mdns:amd64:0.14.1-2:amd64:NSS:module:for:Multicast:DNS:name:resolution 0.14.12
libnss-myhostname:amd64 ii:libnss-myhostname:amd64:247.3-7+deb11u1:amd64:nss:module:providing:fallback:resolution:for:the:current:hostname 247.37
libnss-systemd:amd64 ii:libnss-systemd:amd64:247.3-7+deb11u1:amd64:nss:module:providing:dynamic:user:and:group:name:resolution 247.37
libnss3:amd64 ii:libnss3:amd64:2:3.61-1+deb11u3:amd64:Network:Security:Service:libraries 23.611
libntfs-3g883 ii:libntfs-3g883:1:2017.3.23AR.3-4+deb11u3:amd64:read/write:NTFS:driver:for:FUSE:(runtime:library) 12017.3.23.34
libnuma1:amd64 ii:libnuma1:amd64:2.0.12-1+b1:amd64:Libraries:for:controlling:NUMA:policy 2.0.121
libnumbertext-1.0-0:amd64 ii:libnumbertext-1.0-0:amd64:1.0.7-1:amd64:Number:to:number:name:and:money:text:conversion:library 1.0.71
libnumbertext-data ii:libnumbertext-data:1.0.7-1:all:Number:to:number:name:and:money:text:conversion:library:--:data:files 1.0.71
liboauth0:amd64 ii:liboauth0:amd64:1.0.3-5:amd64:C:library:implementing:OAuth:Core:1.0a:API:(runtime) 1.0.35
libodfgen-0.1-1:amd64 ii:libodfgen-0.1-1:amd64:0.1.8-2:amd64:library:to:generate:ODF:documents 0.1.82
libofa0:amd64 ii:libofa0:amd64:0.9.3-21:amd64:library:for:acoustic:fingerprinting 0.9.321
libogg0:amd64 ii:libogg0:amd64:1.3.4-0.1:amd64:Ogg:bitstream:library 1.3.40.1
libopenal-data ii:libopenal-data:1:1.19.1-2:all:Software:implementation:of:the:OpenAL:audio:API:(data:files) 11.19.12
libopenal1:amd64 ii:libopenal1:amd64:1:1.19.1-2:amd64:Software:implementation:of:the:OpenAL:audio:API:(shared:library) 11.19.12
libopencore-amrnb0:amd64 ii:libopencore-amrnb0:amd64:0.1.5-1:amd64:Adaptive:Multi:Rate:speech:codec:-:shared:library 0.1.51
libopencore-amrwb0:amd64 ii:libopencore-amrwb0:amd64:0.1.5-1:amd64:Adaptive:Multi-Rate:-:Wideband:speech:codec:-:shared:library 0.1.51
libopenexr25:amd64 ii:libopenexr25:amd64:2.5.4-2+deb11u1:amd64:runtime:files:for:the:OpenEXR:image:library 2.5.42
libopengl0:amd64 ii:libopengl0:amd64:1.3.2-1:amd64:Vendor:neutral:GL:dispatch:library:--:OpenGL:support 1.3.21
libopenjp2-7:amd64 ii:libopenjp2-7:amd64:2.4.0-3:amd64:JPEG:2000:image:compression/decompression:library 2.4.03
libopenmpt0:amd64 ii:libopenmpt0:amd64:0.4.11-1:amd64:module:music:library:based:on:OpenMPT:--:shared:library 0.4.111
libopenni2-0:amd64 ii:libopenni2-0:amd64:2.2.0.33+dfsg-15:amd64:framework:for:sensor-based:'Natural:Interaction' 2.2.0.33
libopus0:amd64 ii:libopus0:amd64:1.3.1-0.1:amd64:Opus:codec:runtime:library 1.3.10.1
liborc-0.4-0:amd64 ii:liborc-0.4-0:amd64:1:0.4.32-1:amd64:Library:of:Optimized:Inner:Loops:Runtime:Compiler 10.4.321
liborcus-0.16-0:amd64 ii:liborcus-0.16-0:amd64:0.16.1-3+b2:amd64:library:for:processing:spreadsheet:documents 0.16.13
liborcus-parser-0.16-0:amd64 ii:liborcus-parser-0.16-0:amd64:0.16.1-3+b2:amd64:library:for:processing:spreadsheet:documents:-:parser:library 0.16.13
libosinfo-1.0-0:amd64 ii:libosinfo-1.0-0:amd64:1.8.0-1:amd64:Library:for:managing:information:about:operating:systems:and:hypervisors 1.8.01
libostree-1-1:amd64 ii:libostree-1-1:amd64:2020.8-2+deb11u1:amd64:content-addressed:filesystem:for:operating:system:binaries:(library) 2020.82
libp11-kit0:amd64 ii:libp11-kit0:amd64:0.23.22-1:amd64:library:for:loading:and:coordinating:access:to:PKCS#11:modules:-:runtime 0.23.221
libpackagekit-glib2-18:amd64 ii:libpackagekit-glib2-18:amd64:1.2.2-2:amd64:Library:for:accessing:PackageKit:using:GLib 1.2.22
libpagemaker-0.0-0:amd64 ii:libpagemaker-0.0-0:amd64:0.0.4-1:amd64:Library:for:importing:and:converting:PageMaker:Documents 0.0.41
libpam-gnome-keyring:amd64 ii:libpam-gnome-keyring:amd64:3.36.0-1:amd64:PAM:module:to:unlock:the:GNOME:keyring:upon:login 3.36.01
libpam-modules:amd64 ii:libpam-modules:amd64:1.4.0-9+deb11u1:amd64:Pluggable:Authentication:Modules:for:PAM 1.4.09
libpam-modules-bin ii:libpam-modules-bin:1.4.0-9+deb11u1:amd64:Pluggable:Authentication:Modules:for:PAM:-:helper:binaries 1.4.09
libpam-runtime ii:libpam-runtime:1.4.0-9+deb11u1:all:Runtime:support:for:the:PAM:library 1.4.09
libpam-systemd:amd64 ii:libpam-systemd:amd64:247.3-7+deb11u1:amd64:system:and:service:manager:-:PAM:module 247.37
libpam0g:amd64 ii:libpam0g:amd64:1.4.0-9+deb11u1:amd64:Pluggable:Authentication:Modules:library 1.4.09
libpango-1.0-0:amd64 ii:libpango-1.0-0:amd64:1.46.2-3:amd64:Layout:and:rendering:of:internationalized:text 1.46.23
libpangocairo-1.0-0:amd64 ii:libpangocairo-1.0-0:amd64:1.46.2-3:amd64:Layout:and:rendering:of:internationalized:text 1.46.23
libpangoft2-1.0-0:amd64 ii:libpangoft2-1.0-0:amd64:1.46.2-3:amd64:Layout:and:rendering:of:internationalized:text 1.46.23
libpangomm-1.4-1v5:amd64 ii:libpangomm-1.4-1v5:amd64:2.42.1-1:amd64:C++:Wrapper:for:pango:(shared:libraries) 2.42.11
libpangoxft-1.0-0:amd64 ii:libpangoxft-1.0-0:amd64:1.46.2-3:amd64:Layout:and:rendering:of:internationalized:text 1.46.23
libpaper-utils ii:libpaper-utils:1.1.28+b1:amd64:library:for:handling:paper:characteristics:(utilities) 1.1.28
libpaper1:amd64 ii:libpaper1:amd64:1.1.28+b1:amd64:library:for:handling:paper:characteristics 1.1.28
libparted-fs-resize0:amd64 ii:libparted-fs-resize0:amd64:3.4-1:amd64:disk:partition:manipulator:-:shared:FS:resizing:library 3.41
libparted2:amd64 ii:libparted2:amd64:3.4-1:amd64:disk:partition:manipulator:-:shared:library 3.41
libpcap0.8:amd64 ii:libpcap0.8:amd64:1.10.0-2:amd64:system:interface:for:user-level:packet:capture 1.10.02
libpcaudio0:amd64 ii:libpcaudio0:amd64:1.1-6:amd64:C:API:to:different:audio:devices:-:shared:library 1.16
libpci3:amd64 ii:libpci3:amd64:1:3.7.0-5:amd64:PCI:utilities:(shared:library) 13.7.05
libpciaccess0:amd64 ii:libpciaccess0:amd64:0.16-1:amd64:Generic:PCI:access:library:for:X 0.161
libpcre2-16-0:amd64 ii:libpcre2-16-0:amd64:10.36-2+deb11u1:amd64:New:Perl:Compatible:Regular:Expression:Library:-:16:bit:runtime:files 10.362
libpcre2-8-0:amd64 ii:libpcre2-8-0:amd64:10.36-2+deb11u1:amd64:New:Perl:Compatible:Regular:Expression:Library-:8:bit:runtime:files 10.362
libpcre3:amd64 ii:libpcre3:amd64:2:8.39-13:amd64:Old:Perl:5:Compatible:Regular:Expression:Library:-:runtime:files 28.3913
libpcsclite1:amd64 ii:libpcsclite1:amd64:1.9.1-1:amd64:Middleware:to:access:a:smart:card:using:PC/SC:(library) 1.9.11
libpeas-1.0-0:amd64 ii:libpeas-1.0-0:amd64:1.28.0-2+b1:amd64:Application:plugin:library 1.28.02
libpeas-common ii:libpeas-common:1.28.0-2:all:Application:plugin:library:(common:files) 1.28.02
libperl4-corelibs-perl ii:libperl4-corelibs-perl:0.004-2:all:libraries:historically:supplied:with:Perl:4 0.0042
libperl5.32:amd64 ii:libperl5.32:amd64:5.32.1-4+deb11u2:amd64:shared:Perl:library 5.32.14
libpgm-5.3-0:amd64 ii:libpgm-5.3-0:amd64:5.3.128~dfsg-2:amd64:OpenPGM:shared:library 5.3.1282
libphonenumber8:amd64 ii:libphonenumber8:amd64:8.12.16-4:amd64:parsing/formatting/validating:phone:numbers 8.12.164
libpipeline1:amd64 ii:libpipeline1:amd64:1.5.3-1:amd64:Unix:process:pipeline:manipulation:library 1.5.31
libpipewire-0.3-0:amd64 ii:libpipewire-0.3-0:amd64:0.3.19-4:amd64:libraries:for:the:PipeWire:multimedia:server 0.3.194
libpipewire-0.3-modules:amd64 ii:libpipewire-0.3-modules:amd64:0.3.19-4:amd64:libraries:for:the:PipeWire:multimedia:server:-:modules 0.3.194
libpixman-1-0:amd64 ii:libpixman-1-0:amd64:0.40.0-1.1~deb11u1:amd64:pixel-manipulation:library:for:X:and:cairo 0.40.01.1111
libplist3:amd64 ii:libplist3:amd64:2.2.0-6:amd64:Library:for:handling:Apple:binary:and:XML:property:lists 2.2.06
libplymouth5:amd64 ii:libplymouth5:amd64:0.9.5-3:amd64:graphical:boot:animation:and:logger:-:shared:libraries 0.9.53
libpng16-16:amd64 ii:libpng16-16:amd64:1.6.37-3:amd64:PNG:library:-:runtime:(version:1.6) 1.6.373
libpocketsphinx3:amd64 ii:libpocketsphinx3:amd64:0.8+5prealpha+1-13:amd64:Speech:recognition:tool:-:front-end:library 0.8
libpolkit-agent-1-0:amd64 ii:libpolkit-agent-1-0:amd64:0.105-31+deb11u1:amd64:PolicyKit:Authentication:Agent:API 0.10531
libpolkit-gobject-1-0:amd64 ii:libpolkit-gobject-1-0:amd64:0.105-31+deb11u1:amd64:PolicyKit:Authorization:API 0.10531
libpoppler-cpp0v5:amd64 ii:libpoppler-cpp0v5:amd64:20.09.0-3.1+deb11u1:amd64:PDF:rendering:library:(CPP:shared:library) 20.09.03.1
libpoppler-glib8:amd64 ii:libpoppler-glib8:amd64:20.09.0-3.1+deb11u1:amd64:PDF:rendering:library:(GLib-based:shared:library) 20.09.03.1
libpoppler102:amd64 ii:libpoppler102:amd64:20.09.0-3.1+deb11u1:amd64:PDF:rendering:library 20.09.03.1
libpopt0:amd64 ii:libpopt0:amd64:1.18-2:amd64:lib:for:parsing:cmdline:parameters 1.182
libpostproc55:amd64 ii:libpostproc55:amd64:7:4.3.5-0+deb11u1:amd64:FFmpeg:library:for:post:processing:-:runtime:files 74.3.50
libprocps8:amd64 ii:libprocps8:amd64:2:3.3.17-5:amd64:library:for:accessing:process:information:from:/proc 23.3.175
libprotobuf-c1:amd64 ii:libprotobuf-c1:amd64:1.3.3-1+b2:amd64:Protocol:Buffers:C:shared:library:(protobuf-c) 1.3.31
libprotobuf23:amd64 ii:libprotobuf23:amd64:3.12.4-1:amd64:protocol:buffers:C++:library 3.12.41
libproxy1-plugin-gsettings:amd64 ii:libproxy1-plugin-gsettings:amd64:0.4.17-1:amd64:automatic:proxy:configuration:management:library:(GSettings:plugin) 0.4.171
libproxy1-plugin-networkmanager:amd64 ii:libproxy1-plugin-networkmanager:amd64:0.4.17-1:amd64:automatic:proxy:configuration:management:library:(Network:Manager:plugin) 0.4.171
